Grupo de idade;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Pernambuco;9,3;6,7;8,2;10,6;15,7;14,9;14,8;13,8;13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Piauí;7,9;6,8;6,8;7,5;8,2;13,7;11,7;14,6;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Rio de Janeiro;6,9;6,1;5,8;8,5;13,8;15;15,1;13,2;14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Rio Grande do Norte;11;8,8;8,6;12,3;13;11,7;12,8;12,5;13,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Rio Grande do Sul;3,8;4,3;3,9;5,9;8;7,7;6,8;6,7;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Rondônia;4,8;4,3;3,8;6,4;7,8;6;8;7,2;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Roraima;6,6;6,4;5,5;6,7;7,6;8,6;15;13,5;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Santa Catarina;2,2;2,5;2,4;3,8;4,8;4,7;5,1;3,9;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Sergipe;9;8,3;9,5;10,2;16,3;13,4;15,8;14,4;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;São Paulo;6,8;6,7;6,9;9,8;11,2;11,3;11,2;10,5;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Tocantins;6,8;4,7;5,8;6,1;10,4;8,3;9,4;9,2;11,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Acre;2,1;2,7;2;3,3;5,1;5,6;6,6;7,2;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Alagoas;4,4;3,3;4,4;5,2;7,9;8,7;7,9;6,9;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Amapá;4,4;3,2;4;3,8;8,3;9,3;10;7,1;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Amazonas;3,2;3,4;3,2;3,8;6,9;7,7;8;7,2;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Bahia;7;5,6;6,1;7,1;10,4;9,9;11,2;11,2;13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Ceará;3,7;3,6;3,6;4,5;6,2;5,7;4,6;5,2;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Distrito Federal;3,4;3,7;4;4,9;7,2;6,4;6,1;5,6;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Espírito Santo;3,3;3,3;3,1;4,9;8,2;6,9;5,9;6,3;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Goiás;2,8;2,2;2,3;4,9;6;5;4,2;5,2;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Maranhão;2,9;2,6;2,5;3,8;6,9;7,7;7,8;5,8;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Mato Grosso do Sul;2,6;2,5;2;3,2;5,1;4,5;4;3,6;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Mato Grosso;1,9;1,6;1,5;3,5;6,5;4,3;4;3,7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Minas Gerais;3,1;2,8;3,4;5,6;6,7;6,3;6;5,9;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Pará;3,2;2,9;3;3,5;5,9;6,2;4,9;5,7;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Paraíba;3,9;4;3,6;4,5;6,4;4,4;5,3;8,4;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Paraná;1,9;2;1,8;3,2;4,1;5,1;4,7;3,9;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Pernambuco;5,2;4,1;4,3;6,6;8,4;10,5;9,2;9,1;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Piauí;2,9;3,9;2,3;2,7;5,7;7,1;9,1;8,3;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Rio de Janeiro;3,7;3,5;3,6;5,1;8,7;10;9,7;9,1;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Rio Grande do Norte;4,5;5,6;5,5;5,9;9,3;7,4;8,5;7,1;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Rio Grande do Sul;2,5;2,4;2,2;3;4,6;4,3;4,4;4,1;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Rondônia;2,2;2,5;1,6;2,2;4,2;5,5;3,5;3;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Roraima;3,7;2,4;2,2;3,9;4,5;4,6;5,8;8,9;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Santa Catarina;1,2;1,3;1,2;1,8;3,4;3,4;4,4;3,4;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Sergipe;3,3;4,5;3,7;4,4;8,7;9,3;8,8;8,2;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;São Paulo;3,2;3,1;3,4;5,7;7,4;7,3;7,5;6,9;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 a 59 anos;Tocantins;2,7;2,9;3,1;6,3;7;5,9;5,3;3,8;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Acre;1,5;1,5;1,1;1,5;1,2;2,8;3,9;2,9;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
